#,BUSINESS NAME,CATEGORY,COUNTRY,CITY,ADDRESS,WEBSITE,EMAIL,PHONE,STATUS,OUTREACH,NOTES
,Michelle Porter Realtors | North Carolina Real Estate,Real estate agency,US,Pinehurst,"42 Chinquapin Rd, Pinehurst, NC 28374",http://www.michelleporter.com/,N/A,"(336) 207-0515
",,🆕 New Lead,
,"American Dream Realty, LLC",Real estate agency,US,Apex,"1106 Blackburn Rd, Apex, NC 27502",,N/A,"
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Theresa Lunt | Lunt Real Estate Group - eXp Realty,Real estate agent,US,Cary,"150 Preston Executive Dr, Cary, NC 27513",https://theresalunthomes.com/,N/A,"(919) 473-6341
",,🆕 New Lead,
,Sasquatch Real Estate Team,Real estate agency,US,Fayetteville,"2413 Robeson St STE 6, Fayetteville, NC 28305",https://www.sasquatchreteam.com/,team@latofonts.com,"(910) 420-0702
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Urban Durham Realty,Real estate agency,US,Durham,"214 Hunt St Suite 190, Durham, NC 27701",http://www.urbandurhamrealty.com/,N/A,"(919) 237-3701
",,🆕 New Lead,
,Amy Shair eXp Real Estate - REALTOR®,Real estate agency,US,Cary,"201 Shannon Oaks Cir Suite 101-A, Cary, NC 27511",https://amyshair.com/,nc.triangle@exprealty.com,"(919) 818-5001
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Boro Realty,Real estate agency,US,Carrboro,"605 W Main St #207, Carrboro, NC 27510",http://www.bororealtync.com/,user@domain.com,"(919) 240-7016
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,National Land Realty - Raleigh,Real estate agency,US,Apex,"4221 Sentimental Ln, Apex, NC 27539",https://nationalland.com/land-brokerage/Apex-NC/raleigh-nc-office,info@nationalland.com,"(855) 384-5263
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Governors Club Realty,Real estate agency,US,Chapel Hill,"10100 Governors Dr, Chapel Hill, NC 27517",http://www.governorsclub.com/,info@governorsclub.com,"(919) 968-8500
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Carolina Real Estate Experts; The Dan Jones Group,Real estate agency,US,Huntersville,"15905 Brookway Dr #4108, Huntersville, NC 28078",http://www.listwithdanjones.com/,sold@myhomecarolinas.com,"(704) 312-2202
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Heather Shores - Real Estate Agent Berkshire Hathaway Home Services York Simpson Realty,Real estate agent,US,Chapel Hill,"404 Meadowmont Village Cir, Chapel Hill, NC 27517",https://heathershores.bhhscarolinas.com/,N/A,"(802) 922-6921
",,🆕 New Lead,
,"The Summit Real Estate Agency, LLC.",Real estate agency,US,Sanford,"18 Boulder Dr, Sanford, NC 27332",https://www.facebook.com/KalaFortinBroker,N/A,"(931) 237-2917
",,🆕 New Lead,
,Navigate Realty Raleigh,Real estate agency,US,Raleigh,"7701 Six Forks Rd Suite 110, Raleigh, NC 27615",https://www.navigaterealty.com/,inbox@navigaterealty.com,"(919) 809-8266
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,The NC Real Estate Firm LLC,Real estate agency,US,Raleigh,"4318 Bland Rd, Raleigh, NC 27609",https://thencrealestatefirmllc.com/contact/,N/A,"(919) 801-7951
",,🆕 New Lead,
,Tammie Terelle Real-Estate eXp,Real estate agency,US,Durham,"3004 Guess Rd d, Durham, NC 27705",http://tammiehgroup.com/,Accessibility@incomrealestate.com,"(919) 418-1376
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Drew Ludlow, Realtor: Ludlow Real Estate Group",Real estate agency,US,Apex,"1980 Lazio Ln, Apex, NC 27502",https://drewludlow.com/,drew@drewludlow.com,"(919) 818-8998
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Smart Choice Realty,Real estate agency,US,Raleigh,"3950 Blue Ridge Rd, Raleigh, NC 27612",http://www.smartpeoplelivehere.com/?utm_source=gmb&utm_medium=organic,sam@smartpeoplelivehere.com,"(919) 322-0077
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Jason D Realty,Real estate agency,US,Cary,"202 Union Mills Way, Cary, NC 27519",http://www.jasondrealty.com/,Jason@JasonDRealty.com,"(919) 961-2003
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Marti Hampton Real Estate,Real estate agency,US,Raleigh,"100 Lynn Rd, Raleigh, NC 27609",http://www.martihampton.com/,support@agentfire.com,"(919) 601-7710
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,The Coley Group,Real estate agency,US,Raleigh,"4350 Lassiter at North Hills Ave #256, Raleigh, NC 27609",https://thecoleygroup.com/?utm_campaign=gmb&utm_medium=website+button&utm_origin=serp&utm_source=google+my+business,N/A,"(919) 283-5237
",,🆕 New Lead,
,The Bhatia Team at eXp Realty,Real estate agency,US,Cary,"520 Slate Creek Pl, Cary, NC 27519",https://www.thebhatiateam.com/?utm_source=google-business&utm_medium=organic,N/A,"(919) 342-6669
",,🆕 New Lead,
,"Linda Craft Team, REALTORS",Real estate agency,US,Raleigh,"7300 Six Forks Rd, Raleigh, NC 27615",https://www.lindacraft.com/t?source_string=google-business-page&page_url=/,service@lindacraft.com,"(919) 235-0007
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,The Clark Team- Real Broker LLC,Real estate agent,US,Cary,"119 SW Maynard Rd Ste 270, Cary, NC 27511",http://www.raleighhomefinder.com/,N/A,"(919) 901-5080
",,🆕 New Lead,
,Dwell Real Estate,Real estate agency,US,Carrboro,"407 W Weaver St, Carrboro, NC 27510",http://www.ncdwell.com/,N/A,"(919) 869-7471
",,🆕 New Lead,
,"Carolina Collective Realty by Real Broker, LLC",Real estate agency,US,Raleigh,"7200 Creedmoor Rd Suite 306, Raleigh, NC 27613",https://www.carolinacollectiverealty.com/,N/A,"(919) 782-4503
",,🆕 New Lead,
,Raleigh Realty,Real estate agency,US,Raleigh,"707 N West St #104, Raleigh, NC 27603",https://raleighrealty.com/,Ryan@raleighrealty.com,"(919) 249-8536
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"All Good Real Estate, LLC.",Real estate agency,US,Raleigh,"4002 Barrett Dr Ste 203, Raleigh, NC 27609",http://www.allgoodsoldit.com/,N/A,"(919) 378-1112
",,🆕 New Lead,
,Right Time Realty,Real estate agency,US,Durham,"5007 Southpark Dr #200a, Durham, NC 27713",http://www.timetobuyahouse.com/,kim@timetobuyahouse.com,"(919) 391-8463
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Team Anderson Realty,Real estate agency,US,Holly Springs,"209 Alford St, Holly Springs, NC 27540",http://www.teamandersonrealty.com/,N/A,"(919) 610-5126
",,🆕 New Lead,
,"Renee Hillman, Real Estate Broker - Hillman Real Estate Group at eXp Realty",Real estate agency,US,Raleigh,"100 Lynn Rd Suite J, Raleigh, NC 27609",http://www.hregsells.com/,Renee@HREGSells.com,"(919) 873-4415
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,A Cole Realty,Real estate agency,US,Raleigh,"3210 Fairhill Dr, Raleigh, NC 27612",https://www.acolerealty.com/?utm_source=google&utm_medium=organic&utm_term=gbp-listing-cole-realty,N/A,"(919) 578-3128
",,🆕 New Lead,
,"The Premier Team of RE/MAX Executive - Charlotte, NC",Real estate agent,US,Charlotte,"12104 Copper Way #100, Charlotte, NC 28277",https://thepremierteamagents.com/,clientcare@thepremierteam.com,"(980) 236-0005
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Shenandoah Realty,Real estate agency,US,Chapel Hill,"101 Glen Lennox Dr Suite 300, Chapel Hill, NC 27517",https://shenrealestate.com/?utm_source=gbp&utm_medium=organic,N/A,"(919) 428-3552
",,🆕 New Lead,
,High Performance Real Estate Advisors,Real estate agency,US,Charlotte,"3540 Toringdon Way Suite 200, Charlotte, NC 28277",https://highperformancerealestate.com/,N/A,"(704) 322-3401
",,🆕 New Lead,
,The Prosperous Agency | Yoana Nin Realty,Real estate agency,US,Cary,"200 Littleford Ln, Cary, NC 27519",https://theprosperousagency.com/?utm_source=gbp&utm_medium=organic,yoana@theprosperousagency.com,"(919) 694-1901
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Fivewalls Realty,Real estate agency,CA,Toronto,"22 Adelaide St W suite 2710, Toronto, ON M5H 4E3, Canada",https://www.fivewalls.com/,N/A,"(844) 959-2557
",,🆕 New Lead,
,Forest Hill Real Estate Brokerage Inc. Yorkville,Real estate agency,CA,Toronto,"28A Hazelton Ave, Toronto, ON M5R 2E2, Canada",http://www.foresthillyorkville.com/,N/A,"1 416-975-5588
",,🆕 New Lead,
,Broadview Avenue Group - Toronto Real Estate Agents,Real estate agency,CA,Toronto,"383 Broadview Ave, Toronto, ON M4K 2M7, Canada",https://www.broadviewavenue.ca/,info@broadviewavenue.ca,"1 647-955-8388
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Danielle in the City - Toronto Real Estate Agent,Real estate agency,CA,Toronto,"495 Wellington St W Suite 100, Toronto, ON M5V 1G1, Canada",http://danielleinthecity.ca/,ddemerino@royallepage.ca,"1 416-728-5401
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,The Compass Team - Safras Lafeer & Bwanka Toronto Real Estate,Real estate agency,CA,Toronto,"495 Wellington St W Suite 100, Toronto, ON M5V 1E9, Canada",http://www.thecompassteam.com/,N/A,"1 647-928-7049
",,🆕 New Lead,
,Toronto Realtor,Real estate agency,CA,Toronto,"250 The Esplanade Unit #408, Toronto, ON M5A 4J5, Canada",http://keytorontorealestate.com/,N/A,"1 416-858-8085
",,🆕 New Lead,
,"Downtown Toronto Real Estate, Eddie Chan Commercial Specialist",Real estate agent,CA,Toronto,"650 College St, Toronto, ON M6G 1B7, Canada",https://www.downtowntoronto-realestate.com/,john@doe.com,"1 647-281-6109
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Rick Aurora - Real Estate Broker,Real estate agency,CA,Toronto,"293 Eglinton Ave E, Toronto, ON M4P 1L3, Canada",https://rickaurora.royallepage.ca/,N/A,"1 416-889-4870
",,🆕 New Lead,
,Matthew Fernandes Group - Toronto Real Estate Agent,Real estate agency,CA,Toronto,"300 Geary Ave Suite 104, Toronto, ON M6H 5C5, Canada",http://www.matthewfernandes.ca/,matthew@matthewfernandes.ca,"1 416-937-4510
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Sean Mayers - Toronto Real Estate Agent,Real estate agency,CA,Toronto,"1291 Queen St W, Toronto, ON M6K 1L6, Canada",http://www.seanmayers.com/,Sean.Mayers@Century21.ca,"1 416-849-5360
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,,,,,#ERROR!,,,,EMAIL SENT,,
,The Ramos Team | Toronto Real Estate Agents,Real estate agency,CA,Toronto,"1604 Dufferin St, Toronto, ON M6H 3L7, Canada",http://www.theramosteam.com/,N/A,"1 647-973-7355
",,🆕 New Lead,
,McLay Real Estate,Real estate agency,CA,Toronto,"187 King St E, Toronto, ON M5A 1J5, Canada",http://tylermclay.com/,N/A,"1 647-991-2432
",,🆕 New Lead,
,Fox Marin Associates | Toronto Real Estate Agent Team,Real estate agency,CA,Toronto,"489 College St suite 305, Toronto, ON M6G 1A5, Canada",https://foxmarin.ca/,N/A,"1 416-322-5000
",,🆕 New Lead,
,the BREL team East | Toronto Real Estate Agents,Real estate agency,CA,Toronto,"320 Broadview Ave 2nd Floor, Toronto, ON M4M 2G9, Canada",http://www.getwhatyouwant.ca/,brel@getwhatyouwant.ca,"1 416-568-0427
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Wins Lai - Toronto Real Estate Broker,Real estate agency,CA,Toronto,"1170 Bay St. Suite 110, Toronto, ON M5S 2B4, Canada",http://winslai.com/,wins@winslai.com,"1 416-903-7032
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Properly Toronto,Real estate agency,CA,Toronto,"120 Front St E #200, Toronto, ON M5A 1E3, Canada",https://www.properly.ca/,hello@pine.ca,"1 647-372-5188
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Red House Realty Inc., Brokerage",Real estate agency,CA,Toronto,"112 Avenue Road Upper Level, Toronto, ON M5R 2H4, Canada",http://www.redhouserealty.ca/,N/A,"1 416-213-2132
",,🆕 New Lead,
,Luxury Listing Specialist,Marketing agency,US,Wheaton,"620 W Roosevelt Rd B-2, Wheaton, IL 60189",https://luxurylistingspecialist.com/,N/A,"(888) 930-8510
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Peak Peninsula Realty,Real estate agency,CA,Port Rowan,"1008 Bay St, Port Rowan, ON N0E 1M0, Canada",http://www.peninsularealty.ca/,Peninsularealty@execulink.com,"1 519-586-2626
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"REALTOR Jagpreet Singh, Real Estate Agent - Commercial & Residential; Kitchener/Woodstock/Cambrigde/Brantford/GTA/London area",Real estate agent,CA,Woodstock,"132 Wedgewood Dr, Woodstock, ON N4T 0K1, Canada",http://www.sellwithjagpreet.com/,N/A,"1 647-675-4330
",,🆕 New Lead,
,"Andrew Kulakowsky - Sales Representative | eXp Realty, Brokerage",Real estate agency,CA,St. Catharines,"386 St Paul St Suite 102, St. Catharines, ON L2R 3N2, Canada",https://livinginniagara.com/,N/A,"1 289-241-9095
",,🆕 New Lead,
,Upper Canada Real Estate Company Ltd.,Real estate agency,CA,Niagara Falls,"5397 McRae St, Niagara Falls, ON L2E 1R3, Canada",http://uppercanadarealestatecompany.com/,support@webador.com,"1 289-296-3138
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Rinehart Realty | 2.99% Total Commission | London ON Real Estate Brokerage,Real estate agency,CA,London,"380 Wellington St 6th Floor, Tower B, London, ON N6A 5B5, Canada",https://rinehartrealty.ca/,info@rinehartrealty.ca,"1 519-601-6199
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Canadian Dream Realty Inc. Brokerage,Real estate agency,CA,London,"247 Adelaide St S, London, ON N5Z 3K7, Canada",http://canadiandreamrealty.ca/,volodymyr@cdream.ca,"1 519-204-4343
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,MULLIGAN REALTY GROUP,Real estate agency,CA,London,"685 Adelaide St N, London, ON N5Y 2L4, Canada",http://mulliganrealtygroup.com/,info@mulliganrealtygroup.com,"1 519-317-7653
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Devin Nadeau - Broker - London Ontario REALTOR,Real estate agency,CA,London,"240 Waterloo St #103, London, ON N6B 2N4, Canada",http://www.nadeaureid.com/,info@nadeaureid.com,"1 519-672-9880
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,The Ralph Real Estate Team - Century 21 First Canadian Corp,Real estate agent,CA,London,"420 York St, London, ON N6B 3N1, Canada",http://www.theralphrealestateteam.com/,theralphrealestateteam@c21.ca,"1 519-860-4456
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Barry Team | Top Niagara Real Estate Agents,Real estate agency,CA,Niagara Falls,"3483 Portage Rd Unit 5, Niagara Falls, ON L2J 2K5, Canada",https://thebarryteam.ca/,N/A,"1 905-357-8067
",,🆕 New Lead,
,Team Glasser Real Estate Brokerage Inc.,Real estate agency,CA,London,"99 Horton St W suite a, London, ON N6J 4Y6, Canada",http://www.teamglasser.com/,N/A,"1 519-670-0385
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Keeping Current Matters,Real estate consultant,US,Richmond,"8720 Stony Point Pkwy, Richmond, VA 23235",https://www.keepingcurrentmatters.com/,kcmcrew@keepingcurrentmatters.com,"(631) 787-6200
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Century 21 First Canadian Corp., Brokerage",Real estate agency,CA,London,"420 York St, London, ON N6B 1R1, Canada",https://c21firstcanadian.c21.ca/,support@moxiworks.com,"1 519-673-3390
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,RE/MAX Elevate,Real estate agency,US,Newport News,"744 Thimble Shoals Blvd, Newport News, VA 23606",https://peninsula-newport-news-va.remax.com/,N/A,"(757) 873-3636
",,🆕 New Lead,
,Jerry Pinkas Real Estate Experts,Real estate agent,US,Myrtle Beach,"604 27th Ave N, Myrtle Beach, SC 29577",https://www.homeguidemyrtlebeach.com/,bouncedemail@boomtownroi.com,"(843) 839-9870
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Kristie Weaver Real Estate- SERHANT REALTOR®,Real estate agency,US,Virginia Beach,"780 Lynnhaven Pkwy #400, Virginia Beach, VA 23452",http://www.kristieweaver.com/,N/A,"(757) 613-6978
",,🆕 New Lead,
,"Stella Kocharyan, Realtor",Real estate agent,US,Baltimore,"4015 Foster Ave Suite 300, Baltimore, MD 21224",http://www.stellakreale.com/,N/A,"(443) 682-5396
",,🆕 New Lead,
,Collins Group Realty,Real estate agency,US,Hilton Head Island,"852 William Hilton Pkwy #2b, Hilton Head Island, SC 29928",http://www.collinsgrouprealty.com/,N/A,"(843) 341-6300
",,🆕 New Lead,
,Elena Gorbounova RE/MAX Allegiance,Real estate agent,US,Alexandria,"5100 Leesburg Pike Suite #200, Alexandria, VA 22302",https://www.yourskylineconnection.com/,N/A,"(703) 625-7888
",,🆕 New Lead,
,"Debbie Dogrul Associates, LLC. with eXp Realty",Real estate agency,US,Fairfax,"9735 Main St Suite 100, Fairfax, VA 22031",http://www.teamdda.com/,N/A,"(703) 293-5823
",,🆕 New Lead,
,Jordan Coons - Niagara Real Estate Agent,Real estate agency,CA,Niagara Falls,"6387 Morrison St, Niagara Falls, ON L2E 7H1, Canada",https://jordancoons.exprealty.com/,N/A,"1 905-371-6112
",,🆕 New Lead,
,Stefanie Conley- Keller Williams Great Smokies,Real estate agent,US,Sylva,"96 W Sylva Shopping Area, Sylva, NC 28779",https://stefanie-conley.kw.com/,N/A,"(828) 421-0399
",,🆕 New Lead,
,Smith Spencer Real Estate,Real estate agency,US,Charleston,"701 E Bay St #513, Charleston, SC 29403",http://smithspencer.com/,hello@smithspencer.com,"(843) 609-3979
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Shelly German, Realtor & Partner with The Bob Lucido Team of Keller Williams Lucido Agency",Real estate agent,US,Ellicott City,"9251 Baltimore National Pike suite d, Ellicott City, MD 21042",http://shellygermanhomes.com/,N/A,"(443) 500-9405
",,🆕 New Lead,
,Realty One Group Dockside - Jessica Burchfield,Real estate agent,US,Myrtle Beach,"2305 N Oak St, Myrtle Beach, SC 29577",https://jessicaburchfield.myrealtyonegroup.com/,N/A,"(843) 424-5149
",,🆕 New Lead,
,CENTURY 21 Magnolia,Real estate agency,US,Evans,"609 Ponder Pl Dr Unit B, Evans, GA 30809",http://www.c21magnolia.com/,N/A,"(706) 860-0000
",,🆕 New Lead,
,"Karie Salser, Realty ONE Group Pivot",Real estate agent,US,Hendersonville,"319 N King St, Hendersonville, NC 28792",https://kariesalser.myrealtyonegroup.com/,N/A,"(828) 606-7620
",,🆕 New Lead,
,Alexandra Schrank RE/MAX Executive,Real estate agent,US,Asheville,"56 Central Ave Ste 101, Asheville, NC 28801",http://www.ashevillerealproperty.com/,brokeralexandra@gmail.com,"
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Rhonda Canada Realtor & Company,Real estate agent,US,Chesterfield,"10310 Memory Ln Suite 1F, Chesterfield, VA 23832",https://www.rcrealtor.co/,Rhonda@RCRealtor.co,"(804) 914-3998
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,DiscoverNChomes,Real estate agency,US,Southport,"4320 Southport-Supply Rd SE Suite 100, Southport, NC 28461",http://www.discovernchomes.com/,frontdesk@discovernchomes.com,"(910) 363-4387
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,INNOVATE Real Estate,Real estate agent,US,Myrtle Beach,"1309 Professional Dr, Myrtle Beach, SC 29577",http://innovateonline.com/,N/A,"(843) 839-3325
",,🆕 New Lead,
,Jeff Forman - Keller Williams Innovate South,Real estate agent,US,Myrtle Beach,"601 21st Ave N, Myrtle Beach, SC 29577",http://www.forturro.com/,info@forturro.com,"(843) 902-4325
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Jon Lahey — The Fine Living Group at eXp Realty,Real estate agency,US,Rockville,"401 N Washington St Suite: 600, Rockville, MD 20850",https://www.thefinelivinggroup.com/,N/A,"(301) 651-4900
",,🆕 New Lead,
,"Kyle Hawley, Realtor - Dunes Realty Sales",Real estate agent,US,Murrells Inlet,"2851 US-17 BUS, Murrells Inlet, SC 29576",https://kylehawley.dunesrealtysales.com/,N/A,"(843) 241-8684
",,🆕 New Lead,
,Waterfront Group,Real estate agency,US,Cornelius,"19421 Liverpool Pkwy, Cornelius, NC 28031",http://www.waterfrontgrp.com/,info@waterfrontgrp.com,"(704) 896-5880
",,🆕 New Lead,
,Transworld Business Advisors of Vancouver,Business broker,US,Vancouver,"1220 Main St Suit 400, Vancouver, WA 98660",https://www.tworld.com/locations/vancouver/?utm_campaign=gmb-listing&utm_medium=organic&utm_source=local,N/A,"(360) 952-3000
",,🆕 New Lead,
,Parker Jane,Real estate agency,US,Hood River,"2495 Cascade Ave, Hood River, OR 97031",,N/A,"(541) 386-4400
",,🆕 New Lead,
,Erica Village,Apartment complex,US,Vancouver,"1115 NE 105th St, Vancouver, WA 98685",https://ericavillageapts.com/?utm_knock=g,covingtonsquare@centromgt.com,"(971) 298-9093
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Jeff Valentino | Winston Salem Realtor,Real estate agent,US,Winston-Salem,"111 N Chestnut St #006, Winston-Salem, NC 27101",https://govalentino.com/,N/A,"(336) 837-5924
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Professional Realty Services International, Inc.",Real estate agency,US,Vancouver,"11109 NE 14th St STE B, Vancouver, WA 98684",http://www.professionalrealtyservices.com/,N/A,"(888) 302-5550
",,🆕 New Lead,
,AgencyOne NW,Real estate agency,US,Vancouver,"5910 NE Fourth Plain Blvd #103, Vancouver, WA 98661",,N/A,"(360) 433-2627
",,🆕 New Lead,
,"Pro Realty Group NW, LLC",Real estate agency,US,Vancouver,"1212 NW 54th Way, Vancouver, WA 98663",https://www.prorealtygroupnw.com/,N/A,"(360) 828-0538
",,🆕 New Lead,
,Jesse Grover Realtor,Real estate agent,US,Vancouver,"1220 Main St Ste 400, Vancouver, WA 98660",http://jessegrover.com/,N/A,"(360) 606-6571
",,🆕 New Lead,
,New Tradition Realty,Real estate agency,US,Vancouver,"11815 NE 113th St #110, Vancouver, WA 98662",http://newtraditionrealty.com/,user@domain.com,"(360) 254-9225
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Brenda Wilson, REALTOR - Licensed in Washington and Oregon",Real estate agent,US,Vancouver,"1798 SE Columbia River Dr, Vancouver, WA 98661",,N/A,"(360) 909-4663
",,🆕 New Lead,
,Cresa,Commercial real estate agency,US,Portland,"1355 NW Everett St Suite 100, Portland, OR 97209",https://www.cresa.com/Locations/North-America/Oregon/Portland-OR,N/A,"(503) 455-8655
",,🆕 New Lead,
,Wilcox Real Estate Group,Real estate agency,US,Gastonia,"4109 S New Hope Rd, Gastonia, NC 28056",https://www.wilcoxre.com/,info@wilcoxre.com,"(704) 909-8600
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Compass Land & Real Estate,Real estate agency,US,Cornelius,"18605 Northline Dr, Cornelius, NC 28031",https://www.compasslandgroup.com/,ben@compasslandgroup.com,"
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,,,,,#ERROR!,,,,EMAIL SENT,,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Sarah Bagby,Real estate consultant,US,Vancouver,"2211 E Mill Plain Blvd, Vancouver, WA 98661",,N/A,"(360) 909-8553
",,🆕 New Lead,
,Melissa Erickson - Windermere Northwest Living,Real estate agent,US,Kelso,"209 W Main St Ste. 200, Kelso, WA 98626",https://pnwhomesbymelissa.com/,melissaerickson@windermere.com,"(360) 772-1623
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Wojtek Lachowski - YourLKNhouse - brokered by eXp Realty,Real estate agent,US,Charlotte,"10060 Pergola View Ct, Charlotte, NC 28213",http://www.yourlknhouse.com/,DMCAnotice@MLSGrid.com,"(704) 806-0187
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Ritchie Metzler - Urban Pacific Real Estate - Principal Real Estate Broker,Real estate agent,US,Portland,"2033 N Alberta St, Portland, OR 97217",http://www.urbanpacificrealestate.com/,N/A,"(503) 740-2043
",,🆕 New Lead,
,REALTY PRO INC,Real estate agency,US,Vancouver,"7710 NE Greenwood Dr Suite 140, Vancouver, WA 98662",https://realtypronw.com/,N/A,"(360) 882-7000
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Crandall Group | Portland Real Estate,Real estate agency,US,Beaverton,"14789 SW Millikan Way, Beaverton, OR 97003",http://crandallgroup.com/,N/A,"(503) 936-0332
",,🆕 New Lead,
,Homes With Jan,Real estate agent,US,Vancouver,"201 NE Park Plaza Dr #105, Vancouver, WA 98684",http://homeswithjan.com/,jan.fogg@homeswithjan.com,"(360) 605-1570
",,🆕 New Lead,
,Wilmington Real Estate Agent | Danielle Gillespie | Gillespie Group,Real estate agent,US,Carolina Beach,"9 Lake Park Blvd S Suite B1, Carolina Beach, NC 28428",http://daniellegillespiehomes.com/,N/A,"(910) 620-4380
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Fairway Village Realty,Real estate agency,US,Vancouver,"15509 SE Fernwood Dr #1, Vancouver, WA 98683",http://fairwayvillagerealty.com/,karl@karlsellshomes.com,"(360) 816-4455
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Kelly Winn - District Real Estate and Generation Homes NW,Contractor,US,Vancouver,"14300 NE 20th Ave Suite 204B, Vancouver, WA 98686",https://generationhomesnw.com/,N/A,"(360) 903-4100
",,🆕 New Lead,
,Delavan Realty Inc.,Real estate agency,US,Tigard,"12909 SW 68th Pkwy #160, Tigard, OR 97223",http://delavan-realty.com/,info@delavan-realty.com,"(503) 966-1448
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,The Overman Group,Real estate agency,US,Oak Ridge,"2215 Oak Ridge Rd, Oak Ridge, NC 27310",http://theovermangroup.com/,N/A,"(336) 618-7564
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Premiere Property Group, LLC",Real estate agency,US,Vancouver,"7700 NE Parkway Dr #125, Vancouver, WA 98662",https://vancouvermall.premierepropertygroup.com/,INFO@PREMIEREPROPERTYGROUP.COM,"(360) 693-6139
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,,,,,#ERROR!,,,,EMAIL SENT,,
